År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,Institutet för språk och folkminnen,Åtgärder för nationella minoriteter,"Språkcentrum för finska, jiddisch, meänkieli och romani chib",Rikets styrelse,2021001082,558530489,,,"0,33591951","0,39179258","0,41392027","0,56539747","0,50350587","0,55133769","0,87414896","0,85039838","13,461,568","126,967,747","162,453,238","255,647,936"
2022,Länsstyrelsen i Stockholms län,Åtgärder för nationella minoriteter,"Statsbidrag till kommuner och regioner i förvaltningsområden, m.m.",Rikets styrelse,2021002247,1837544706,,,"0,81633451",0,"37,526,563","1,800,018,143","0,03127041","0,58052725","0,171005","0,098172","0,09821317","0,1245084","0,37321409","0,59283092"
2022,Institutet för språk och folkminnen,Åtgärder för nationella minoriteter,Språkvård för nationella minoritetsspråk,Rikets styrelse,2021001082,178599741,,,"0,02079766","0,04466154","0,13882317","0,10740392","0,08678682","0,1277058","0,1627726","0,14859578","0,20387009","0,34334771","0,3292375","178,599,741"
2022,Länsstyrelsen i Stockholms län,Åtgärder för nationella minoriteter,Nationellt uppföljningsansvar,Rikets styrelse,2021002247,218256543,,,"0,27660468","0,30365447","0,29708331","0,26030081","0,3037561","106,679,718","0,20390545","0,22053496","0,78387471","0,80665669","0,89580308","111,576,825"
2022,Länsstyrelsen i Stockholms län,Åtgärder för nationella minoriteter,Stöd för nationella minoriteter,Rikets styrelse,2021002247,12577922,,,0,"12,577,922",0,"0,422078",0,0,0,0,0,0,0,0
2022,Sametinget,Åtgärder för nationella minoriteter,Nationellt uppföljningsansvar,Rikets styrelse,2021004573,0,,,"0,13067718","0,1053051","0,13782828","0,16889591","0,14160123","0,11261096","0,15270977","0,09942993","0,15662203","0,15865459","0,22290324","0,49478051"
2022,Sametinget,Åtgärder för nationella minoriteter,"Statsbidrag till kommuner och regioner i förvaltningsområden, m.m.",Rikets styrelse,2021004573,2498203759,,,"0,0250473","0,01201687","2,498,341,865","-1,711,282",0,0,0,0,0,0,0,"1,573,176"
2022,Sametinget,Åtgärder för nationella minoriteter,Samiska språkcentrum,Rikets styrelse,2021004573,163669272,,,"0,29065807","0,32353987","0,37911332","0,463294","0,4221978","0,58498748","0,41679684","0,42493252","0,70005128","0,99964413","0,93535059","163,669,272"
2022,Sametinget,Åtgärder för nationella minoriteter,Hemsida om nationella minoriteter,Rikets styrelse,2021004573,0,,,"0,11343056","0,22493621","0,20488845","0,18358489","0,13365255","0,06285231","0,22257501","0,10781286","0,04430179","0,08917435","0,00967084","0,20824001"
2022,Institutet för språk och folkminnen,Åtgärder för nationella minoriteter,Revitalisering av nationella minoritetsspråk,Rikets styrelse,2021001082,478418406,,,"0,00654566","-8,123,011","391,192,169","110,124,789","0,33570589","0,01885002","-221,354","0,01940253","0,00798673","-22,460,576",0,"7,906,389"
2022,Kammarkollegiet,Åtgärder för nationella minoriteter,Åtgärder för nationella minoriteter,Rikets styrelse,2021000829,54943,,,0,0,0,"5,4","10,5","3,8",4,0,4,2,"54,933",0
2022,Länsstyrelsen i Stockholms län,Åtgärder för den nationella minoriteten romer,Arbete med den nationella minoriteten romer,Rikets styrelse,2021002247,929358438,,,"0,17254868","0,23594236","0,33322415","0,15212935","0,14338301","0,37551778","0,09933877","0,32676245","0,41915044","0,35468687","0,09363621","929,358,438"
2022,Myndigheten för ungdoms- och civilsamhällesfrågor,Åtgärder för den nationella minoriteten romer,Åtg. för den nat min - del till MUCF för insatser inom ramen för strategin för romsk inkludering,Rikets styrelse,2021001173,191013686,,,0,0,0,0,0,"0,02553446","0,10380707","0,13607117","191,013,686","0,00594432","0,00254756","0,13576094"
2022,Kammarkollegiet,Åtgärder för den nationella minoriteten romer,Brobyggarverksamhet,Rikets styrelse,2021000829,1,,,0,0,0,0,0,0,1,0,0,0,0,0
2022,Mediemyndigheten,Mediestöd,Mediestöd - del till Mediemyndigheten,Rikets styrelse,2021006347,55827415658,,,"507,996,126","11,164,567,781","13,257,417,672","4,394,838","66,176,653","14,783,128,756","11,516,318,141","608,991,256","636,292,882","787,707,887","691,030,202","1,803,393,464"
2022,Mediemyndigheten,Mediemyndigheten,Mediemyndigheten,Rikets styrelse,2021006347,3404380855,,,"36,098,454","395,755,871","346,339,969","35,164,925","335,403,873","376,774,336","39,587,731","342,492,376","341,847,158","373,607,828","397,331,925","383,976,409"
2022,Svenska institutet för europapolitiska studier,Svenska institutet för europapolitiska studier samt EU-information,Svenska institutet för europapolitiska studier,Rikets styrelse,2021005331,2087988463,,,"176,743,149","187,873,181","0,90540269","149,904,571","125,186,714","233,309,939","188,502,722","170,221,389","133,819,491","129,543,135","302,662,629","290,221,543"
2022,Universitets- och högskolerådet,Svenska institutet för europapolitiska studier samt EU-information,EU-information - del till Universitets- och högskolerådet,Rikets styrelse,2021006487,0,,,"0,15306475","0,22684002","0,66631476","0,39846856","0,50637466","0,31032523","0,14603181","0,3048753","0,28334437","0,6941161","0,29810717","0,75617243"
2022,Linnéuniversitetet,Svenska institutet för europapolitiska studier samt EU-information,EU-information - del till Linnéuniversitetet,Rikets styrelse,2021006271,0,,,0,"0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
2022,Myndigheten för ungdoms- och civilsamhällesfrågor,Svenska institutet för europapolitiska studier samt EU-information,EU-information - del till MUCF,Rikets styrelse,2021001173,-2244736,,,"0,04382479","0,04029496","0,45553128","0,13917706","0,07539722","0,19648517","0,12358927","0,07736177","0,13795099","-2,244,736","0,07226375","0,32550255"
2022,Statskontoret,Statskontoret,Statskontoret,Samhällsekonomi och finansförvaltning,2021000852,9665978547,,,"833,666,542","628,665,282","824,384,696","716,134,872","732,877,476","824,161,392","910,675,343","685,308,215","842,718,252","841,273,331","766,768,384","1,059,344,762"
